REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,IS_IMPUTED
States,Idaho,2010,46,98,13,5003,False
States,Illinois,2010,46,661,79,40492,False
States,Indiana,2010,46,104,42,12670,False
States,Iowa,2010,46,21,9,4337,False
States,Kansas,2010,46,63,44,10574,False
States,Kentucky,2010,46,78,15,16839,False
States,Louisiana,2010,46,539,37,19147,False
States,Maine,2010,46,33,31,6342,False
States,Maryland,2010,46,156,20,10399,False
States,Massachusetts,2010,46,236,51,29372,False
States,Michigan,2010,46,109,49,16629,False
States,Minnesota,2010,46,44,18,6261,False
States,Mississippi,2010,46,764,45,17108,False
States,Missouri,2010,46,101,31,8391,False
States,Montana,2010,46,3,6,2729,False
States,Nebraska,2010,46,85,16,3508,False
States,Nevada,2010,46,294,34,11167,False
States,New Hampshire,2010,46,16,31,5729,False
States,New Jersey,2010,46,158,24,7393,False
States,New Mexico,2010,46,228,24,7921,False
States,New York,2010,46,79,107,15692,False
States,North Carolina,2010,46,122,75,25177,False
States,North Dakota,2010,46,30,16,4657,False
States,Ohio,2010,46,95,45,17817,False
States,Oklahoma,2010,46,103,16,3074,False
States,Oregon,2010,46,44,19,6688,False
States,Pennsylvania,2010,46,170,60,17964,False
States,Rhode Island,2010,46,35,21,6942,False
States,South Carolina,2010,46,33,21,7238,False
States,South Dakota,2010,46,59,19,5892,False
States,Tennessee,2010,46,86,51,12712,False
States,Texas,2010,46,1121,95,49906,False
States,Utah,2010,46,53,14,5838,False
States,Vermont,2010,46,53,11,2960,False
States,Virginia,2010,46,898,84,58600,False
States,Washington,2010,46,44,16,3305,False
States,West Virginia,2010,46,224,36,11211,False
States,Wisconsin,2010,46,59,47,5249,False
States,Wyoming,2010,46,36,28,4834,False
States,New York City,2010,46,1810,43,93936,False
States,Alabama,2010,47,360,33,8418,False
States,Alaska,2010,47,10,6,1533,False
States,Arizona,2010,47,251,54,22138,False
States,Arkansas,2010,47,53,17,2616,False
States,California,2010,47,729,134,23060,False
States,Colorado,2010,47,108,11,14316,False
States,Connecticut,2010,47,11,16,1535,False
States,Delaware,2010,47,12,12,2384,False
States,District of Columbia,2010,47,60,4,1799,False
States,Florida,2010,47,337,113,21394,False
States,Georgia,2010,47,1801,61,32966,False
States,Hawaii,2010,47,128,18,8131,False
States,Idaho,2010,47,99,13,3226,False
States,Illinois,2010,47,622,78,34238,False
States,Indiana,2010,47,72,44,9056,False
States,Iowa,2010,47,8,8,1499,False
States,Kansas,2010,47,61,43,6850,False
States,Kentucky,2010,47,63,15,11675,False
States,Louisiana,2010,47,433,41,14793,False
States,Maine,2010,47,27,31,4372,False
States,Maryland,2010,47,128,19,6360,False
States,Massachusetts,2010,47,198,50,20666,False
States,Michigan,2010,47,92,52,10758,False
States,Minnesota,2010,47,47,18,4269,False
States,Mississippi,2010,47,786,46,16246,False
States,Missouri,2010,47,78,30,5516,False
States,Montana,2010,47,10,6,1862,False
States,Nebraska,2010,47,15,15,2440,False
States,Nevada,2010,47,299,34,9639,False
States,New Hampshire,2010,47,8,30,3899,False
States,New Jersey,2010,47,143,25,5915,False
States,New Mexico,2010,47,194,24,6514,False
States,New York,2010,47,58,104,10561,False
States,North Carolina,2010,47,102,77,16140,False
States,North Dakota,2010,47,27,18,4572,False
States,Ohio,2010,47,48,42,10561,False
States,Oklahoma,2010,47,64,16,2413,False
States,Oregon,2010,47,25,18,2350,False
States,Pennsylvania,2010,47,144,67,12991,False
States,Rhode Island,2010,47,31,21,4572,False
States,South Carolina,2010,47,23,23,4483,False
States,South Dakota,2010,47,37,18,4148,False
States,Tennessee,2010,47,65,53,7909,False
States,Texas,2010,47,964,90,37096,False
States,Utah,2010,47,37,23,4976,False
States,Vermont,2010,47,46,11,2371,False
States,Virginia,2010,47,987,87,60654,False
States,Washington,2010,47,21,14,1121,False
States,West Virginia,2010,47,133,33,7892,False
States,Wisconsin,2010,47,36,50,3680,False
States,Wyoming,2010,47,17,29,3399,False
States,New York City,2010,47,1971,43,84555,False
States,Alabama,2010,48,467,35,10517,False
States,Alaska,2010,48,8,8,1740,False
States,Arizona,2010,48,371,56,26085,False
States,Arkansas,2010,48,62,18,4451,False
States,California,2010,48,939,135,36028,False
States,Colorado,2010,48,168,11,19771,False
States,Connecticut,2010,48,19,19,4289,False
States,Delaware,2010,48,11,13,4074,False
States,District of Columbia,2010,48,135,4,3246,False
States,Florida,2010,48,487,111,28620,False
States,Georgia,2010,48,1315,62,37768,False
States,Hawaii,2010,48,34,18,1732,False
States,Idaho,2010,48,86,13,4774,False
States,Illinois,2010,48,659,79,40646,False
States,Indiana,2010,48,109,43,12286,False
States,Iowa,2010,48,26,10,3142,False
States,Kansas,2010,48,66,42,9174,False
States,Kentucky,2010,48,111,14,16482,False
States,Louisiana,2010,48,443,40,16624,False
States,Maine,2010,48,23,31,6610,False
States,Maryland,2010,48,167,20,8962,False
